Reporter Identifier	VALUE
1	0.383873447
2	0.246591318
3	0.352042305
4	0.396102492
5	0.147986535
7	2.503808081
8	0.211895185
9	2.168771420
10	0.589239448
11	0.256488691
13	0.261998233
14	0.454901827
15	0.125814776
16	1.097238400
17	0.929384025
19	0.491443963
21	0.793262708
22	0.361623895
23	1.871656136
25	0.464735257
26	0.141308312
27	0.669229618
28	0.327045295
29	0.333613660
31	0.297815586
32	0.375018856
34	0.282325985
35	0.181668786
37	0.796694571
38	0.131548641
39	0.198158671
40	0.137271162
41	0.130484293
43	0.547216567
44	0.126352180
45	0.300820429
46	0.132130292
47	1.656287535
49	0.610916197
50	0.691537326
51	0.202625936
52	0.449136682
56	0.233142537
57	1.132280670
58	0.384958437
59	0.122885376
61	0.007131098
62	0.317399816
63	0.000000000
64	0.000000000
67	4.153412440
68	0.329417219
69	0.425067222
70	0.900410362
71	0.266676145
73	0.259140759
74	0.160705882
75	0.679944933
76	0.255824894
77	2.170268134
79	0.309730435
80	0.402104358
81	0.762734127
82	0.290651064
83	0.201720732
85	15.462783930
86	1.705363351
87	0.097412944
88	0.000000000
91	0.142800646
92	0.237454053
94	1.601390465
98	0.520924611
99	0.463068540
100	0.324398480
101	0.661775289
103	0.000000000
104	0.000000000
106	0.000000000
107	0.000000000
110	0.361897147
111	1.410060732
113	0.355465068
116	0.000000000
117	0.161475921
119	0.000000000
121	0.328442353
122	0.363047334
123	0.000000000
124	0.197354322
125	0.223974040
126	0.000000000
128	0.811717740
131	0.000000000
133	16.154575160
134	0.600685371
135	0.472659808
136	0.000000000
137	0.218179546
139	0.552525085
141	0.051998943
142	0.243246221
143	0.271870194
144	0.000000000
149	0.168469470
151	0.465683679
152	0.401398654
153	0.229024292
154	0.145689930
155	0.180076531
156	0.021617033
157	0.193314900
158	0.125639756
159	0.074113239
160	14.464255950
161	0.208982124
162	0.000000000
163	0.252730638
166	0.191015673
167	0.380884619
168	0.047120922
169	0.194244366
170	0.000000000
171	0.160367802
172	0.576936538
173	0.134237985
174	0.000000000
175	0.989457003
