Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]
GSM991087 1	Arabidopsis 20-day-old roots	OE21-C [roots]	Col-0	EFO	EFO_0005148	AtPAP2 overexpression OE21	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991087 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991087 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991087	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991087_532A12_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991087_sample_table.txt norm	GSM991087_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 overexpression OE21
GSM991086 1	Arabidopsis 20-day-old roots	OE21-B [roots]	Col-0	EFO	EFO_0005148	AtPAP2 overexpression OE21	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991086 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991086 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991086	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991086_532A11_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991086_sample_table.txt norm	GSM991086_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 overexpression OE21
GSM991085 1	Arabidopsis 20-day-old roots	OE21-A [roots]	Col-0	EFO	EFO_0005148	AtPAP2 overexpression OE21	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991085 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991085 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991085	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991085_532A10_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991085_sample_table.txt norm	GSM991085_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 overexpression OE21
GSM991084 1	Arabidopsis 20-day-old roots	OE7-C [roots]	Col-0	EFO	EFO_0005148	AtPAP2 overexpression OE7	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991084 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991084 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991084	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991084_532A09_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991084_sample_table.txt norm	GSM991084_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 overexpression OE7
GSM991083 1	Arabidopsis 20-day-old roots	OE7-B [roots]	Col-0	EFO	EFO_0005148	AtPAP2 overexpression OE7	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991083 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991083 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991083	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991083_532A08_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991083_sample_table.txt norm	GSM991083_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 overexpression OE7
GSM991082 1	Arabidopsis 20-day-old roots	OE7-A [roots]	Col-0	EFO	EFO_0005148	AtPAP2 overexpression OE7	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991082 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991082 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991082	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991082_532A07_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991082_sample_table.txt norm	GSM991082_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 overexpression OE7
GSM991081 1	Arabidopsis 20-day-old roots	T-DNA-C [roots]	Col-0	EFO	EFO_0005148	AtPAP2 T-DNA mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991081 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991081 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991081	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991081_532A06_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991081_sample_table.txt norm	GSM991081_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 T-DNA mutant
GSM991080 1	Arabidopsis 20-day-old roots	T-DNA-B [roots]	Col-0	EFO	EFO_0005148	AtPAP2 T-DNA mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991080 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991080 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991080	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991080_532A05_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991080_sample_table.txt norm	GSM991080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 T-DNA mutant
GSM991079 1	Arabidopsis 20-day-old roots	T-DNA-A [roots]	Col-0	EFO	EFO_0005148	AtPAP2 T-DNA mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991079 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991079 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991079	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991079_532A04_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991079_sample_table.txt norm	GSM991079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	AtPAP2 T-DNA mutant
GSM991078 1	Arabidopsis 20-day-old roots	WT-C [roots]	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	20-day-old roots	P-GSE40305-2	ArrayExpress	P-GSE40305-3	ArrayExpress	P-GSE40305-4	ArrayExpress	GSM991078 extract 1	total RNA	P-GSE40305-5	ArrayExpress	GSM991078 LE 1	Cy3	P-GSE40305-6	ArrayExpress	GSM991078	A-GEOD-13697	ArrayExpress	array assay	P-GSE40305-7	ArrayExpress	GSM991078_532A03_444099_2010-07-27_12-02_Area1.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.raw.1.zip	P-GSE40305-1	ArrayExpress	GSM991078_sample_table.txt norm	GSM991078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40305/E-GEOD-40305.processed.1.zip	WT
