Reporter Identifier	VALUE
AT1G01010_1	6482
AT1G01020_1	508
AT1G01020_2	91
AT1G01030_1	488
AT1G01040_1	4594
AT1G01046_1	302
AT1G01050_1	9101
AT1G01060_1	389
AT1G01060_3	46
AT1G01070_1	2274
AT1G01070_2	169
AT1G01073_1	173
AT1G01080_1	1846
AT1G01080_2	1501
AT1G01090_1	19883
AT1G01100_1	9931
AT1G01100_2	11186
AT1G01100_3	12847
AT1G01110_1	3033
AT1G01110_2	5296
AT1G01115_1	32
AT1G01120_1	8609
AT1G01130_1	902
AT1G01140_1	4089
AT1G01150_1	363
AT1G01160_1	7348
AT1G01160_2	1676
AT1G01170_1	1593
AT1G01170_2	3181
AT1G01180_1	99
AT1G01183_1	67
AT1G01190_1	15360
AT1G01200_1	1212
AT1G01210_1	3201
AT1G01220_1	3288
AT1G01225_1	1670
AT1G01230_1	5052
AT1G01240_1	3338
AT1G01240_2	3310
AT1G01240_3	245
AT1G01250_1	478
AT1G01260_1	3849
AT1G01280_1	128
AT1G01290_1	1766
AT1G01290_2	3647
AT1G01300_1	17245
AT1G01305_1	70
AT1G01310_1	226
AT1G01320_1	3621
AT1G01340_1	2372
AT1G01350_1	974
AT1G01355_1	579
AT1G01360_1	2441
AT1G01370_1	2438
AT1G01370_2	2649
AT1G01380_1	1080
AT1G01390_1	839
AT1G01400_1	346
AT1G01410_1	150
AT1G01420_1	724
AT1G01430_1	4531
AT1G01440_1	3822
AT1G01448_1	1885
AT1G01448_2	152
AT1G01448_3	813
AT1G01450_1	526
AT1G01453_1	135
AT1G01453_2	170
AT1G01460_1	193
AT1G01470_1	11064
AT1G01471_1	163
AT1G01480_1	1342
AT1G01490_1	597
AT1G01490_2	7759
AT1G01500_1	2011
AT1G01510_1	7910
AT1G01520_1	228
AT1G01530_1	99
AT1G01540_1	3291
AT1G01540_2	6343
AT1G01550_1	10849
AT1G01550_2	11664
AT1G01560_1	599
AT1G01560_2	774
AT1G01570_1	327
AT1G01580_1	2441
AT1G01590_1	939
AT1G01600_1	803
AT1G01610_1	7464
AT1G01620_1	23330
AT1G01620_2	17750
AT1G01630_1	1325
AT1G01640_1	2109
AT1G01640_2	4529
AT1G01650_1	9061
AT1G01660_1	733
AT1G01670_1	871
AT1G01680_1	159
AT1G01690_1	2072
AT1G01695_1	173
AT1G01700_1	470
AT1G01710_1	2383
AT1G01720_1	10232
AT1G01725_1	1505
AT1G01730_1	1735
AT1G01740_1	1599
AT1G01750_1	1755
AT1G01760_1	1403
AT1G01770_1	3644
AT1G01780_1	10720
AT1G01790_1	4533
AT1G01800_1	5799
AT1G01800_2	5913
AT1G01810_1	686
AT1G01820_1	6200
AT1G01830_1	2584
AT1G01840_1	797
AT1G01860_1	1285
AT1G01870_1	1187
AT1G01880_1	1783
AT1G01900_1	3248
AT1G01910_1	10745
