Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM1272587 1	Wild type plants carring the EMS mutation in the Lectin receptor kinase I.9 were used.	Root, 100 mM ATP, 30 min	dorn1-1 Root 100 mM ATP 30 min rep3	Col-0	EFO	EFO_0005148	dorn1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272587 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272587 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272587	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272587_sample_table.txt norm	GSM1272587_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	dorn1-1 mutant	100 micromolar ATP 
GSM1272586 1	Wild type plants carring the EMS mutation in the Lectin receptor kinase I.9 were used.	Root, 100 mM ATP, 30 min	dorn1-1 Root 100 mM ATP 30 min rep2	Col-0	EFO	EFO_0005148	dorn1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272586 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272586 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272586	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272586_sample_table.txt norm	GSM1272586_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	dorn1-1 mutant	100 micromolar ATP 
GSM1272585 1	Wild type plants carring the EMS mutation in the Lectin receptor kinase I.9 were used.	Root, 100 mM ATP, 30 min	dorn1-1 Root 100 mM ATP 30 min rep1	Col-0	EFO	EFO_0005148	dorn1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272585 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272585 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272585	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272585_sample_table.txt norm	GSM1272585_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	dorn1-1 mutant	100 micromolar ATP 
GSM1272584 1	Wild type plants carring the EMS mutation in the Lectin receptor kinase I.9 were used.	Root, 2mM MES buffer, 30min	dorn1-1 Root MES buffer 30 min rep3	Col-0	EFO	EFO_0005148	dorn1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272584 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272584 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272584	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272584_sample_table.txt norm	GSM1272584_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	dorn1-1 mutant	control
GSM1272583 1	Wild type plants carring the EMS mutation in the Lectin receptor kinase I.9 were used.	Root, 2mM MES buffer, 30min	dorn1-1 Root MES buffer 30 min rep2	Col-0	EFO	EFO_0005148	dorn1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272583 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272583 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272583	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272583_sample_table.txt norm	GSM1272583_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	dorn1-1 mutant	control
GSM1272582 1	Wild type plants carring the EMS mutation in the Lectin receptor kinase I.9 were used.	Root, 2mM MES buffer, 30min	dorn1-1 Root MES buffer 30 min rep1	Col-0	EFO	EFO_0005148	dorn1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272582 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272582 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272582	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272582_sample_table.txt norm	GSM1272582_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	dorn1-1 mutant	control
GSM1272581 1	Transgenic Arabidopsis expressing calcium reporter protein, aequorin, were used as wild-type Col-0.	Root, 100 mM ATP, 30 min	Col-0 Root 100 mM ATP 30 min rep3	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272581 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272581 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272581	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272581_sample_table.txt norm	GSM1272581_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	wild type	100 micromolar ATP 
GSM1272580 1	Transgenic Arabidopsis expressing calcium reporter protein, aequorin, were used as wild-type Col-0.	Root, 100 mM ATP, 30 min	Col-0 Root 100 mM ATP 30 min rep2	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272580 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272580 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272580	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272580_sample_table.txt norm	GSM1272580_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	wild type	100 micromolar ATP 
GSM1272579 1	Transgenic Arabidopsis expressing calcium reporter protein, aequorin, were used as wild-type Col-0.	Root, 100 mM ATP, 30 min	Col-0 Root 100 mM ATP 30 min rep1	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272579 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272579 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272579	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272579_sample_table.txt norm	GSM1272579_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	wild type	100 micromolar ATP 
GSM1272578 1	Transgenic Arabidopsis expressing calcium reporter protein, aequorin, were used as wild-type Col-0.	Root, 2mM MES buffer, 30min	Col-0 Root MES buffer 30 min rep3	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	5	day	seedling	root	P-GSE52610-2	ArrayExpress	P-GSE52610-3	ArrayExpress	P-GSE52610-4	ArrayExpress	GSM1272578 extract 1	total RNA	P-GSE52610-5	ArrayExpress	GSM1272578 LE 1	biotin	P-GSE52610-6	ArrayExpress	GSM1272578	A-AFFY-2	ArrayExpress	array assay	P-GSE52610-7	ArrayExpress	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.raw.1.zip	P-GSE52610-1	ArrayExpress	GSM1272578_sample_table.txt norm	GSM1272578_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52610/E-GEOD-52610.processed.1.zip	wild type	control
