ID_REF	VALUE
258947_at	7.158829146
252411_at	6.883472331
259629_at	4.971405239
261037_at	4.013030368
258606_at	5.698433747
263783_at	6.543560061
262536_at	8.749668327
264153_at	6.973251312
255795_at	5.526710345
261191_at	6.673336294
256526_at	5.63795204
248322_at	5.917792975
250257_at	7.974096605
263800_at	6.531265956
253048_at	5.495480801
249230_at	7.788885199
260656_at	9.813963587
248327_at	7.153362924
261470_at	7.453322818
250796_at	4.874410508
256057_at	6.570720885
264435_at	7.298126533
262745_at	8.312250681
249983_at	7.582927853
252084_at	4.533664101
249918_at	8.389080703
256442_at	5.896751502
256049_at	7.344446189
261488_at	6.952499233
253386_at	9.751148671
266545_at	8.057614147
250435_at	5.948192656
266821_at	5.738918298
247455_at	5.980832673
263760_at	8.237477569
251884_at	6.159211531
264597_at	6.736938205
249264_s_at	4.192600332
260982_at	8.243362867
258025_at	6.187583825
256076_at	8.997420858
262085_at	6.311336124
262383_at	8.208306725
245018_at	7.902111801
248282_at	5.965486721
267169_at	7.068185234
267069_at	7.266756309
252648_at	6.231061924
265853_at	4.932075113
265075_at	9.072462259
247848_at	5.637176857
267005_at	7.825291828
260744_at	7.499937276
246075_at	4.819890422
251744_at	7.833819813
253643_at	7.894612584
266800_at	9.643307636
265741_at	6.728159216
256856_at	6.989560381
245866_s_at	8.554708851
259791_at	5.663263435
249417_at	6.373150657
266455_at	4.772845612
259927_at	5.864549551
247215_at	5.748874624
249197_at	4.704566007
256763_at	5.880186588
260046_at	4.632496111
254255_at	4.618278989
247694_at	7.561327353
252181_at	9.462644163
266600_at	5.907730644
249932_at	4.958796932
264096_at	5.18226215
253859_at	6.54752115
252353_at	5.050439021
250075_at	7.665965592
254120_at	8.655702774
250098_at	6.713525625
251820_at	7.959854598
264434_at	6.428313162
247773_at	3.529165255
248873_at	5.31910018
254075_at	6.41474054
258495_at	7.157075791
250149_at	4.837762135
249002_at	6.989558498
260227_at	8.229431603
253632_at	4.641659369
267411_at	6.592475337
260155_at	8.360664995
259428_at	4.176127218
260876_at	7.412602568
249410_at	3.585258947
260481_at	11.00580629
252053_at	8.013196525
245776_at	6.725723387
251054_at	4.620579812
265276_at	7.956156534
264232_at	6.623213891
251507_at	5.898660771
247789_at	5.132788587
246226_at	8.540458109
252688_at	4.390999482
257954_at	5.257221317
252906_at	7.736219291
260696_at	6.221980353
262160_at	6.932085107
261476_at	6.261179476
251969_at	6.914213718
260769_at	5.638879837
246303_at	6.224125667
247208_at	6.090476885
251603_at	5.833612591
255599_at	6.044064926
260201_at	6.278397631
245840_at	5.319181963
261405_at	7.851229029
265742_at	6.489628814
247431_at	9.428355705
246927_s_at	4.243980737
249493_at	5.913769738
256009_at	4.844723798
267580_at	5.794580995
248978_at	5.986775447
261017_at	6.221492513
263533_at	7.169706248
267288_at	7.360086337
264758_at	8.25477934
252924_at	7.579875885
264954_at	8.244698579
