Root.MES.1	Root.MES.2	Root.MES.3	Root.ATP.1	Root.ATP.2	Root.ATP.3	ATP.raw.pvals.present	ATP.fdr.pvals.present
244901_at	6.08783589546188	6.30322220767048	6.57377214560571	6.50790258284545	6.17284892855827	6.54105034311706	0.665287718174485	0.827708784311117
244902_at	5.75220656037135	5.71344098662631	5.64794664598828	6.22799912198366	5.74979838386538	5.44061660846132	0.701768541262382	0.849601423820123
244903_at	10.3791961767549	9.95185156747865	10.4439329194536	10.0696824343778	9.35513704154561	9.713160690859	0.107062620523559	0.37734951768656
244904_at	7.40699191630338	7.28384026008503	7.64641120677652	7.14340086112213	6.44512573441742	6.61119772513476	0.0577945072322062	0.323190171602506
244905_at	4.80986258429899	4.84820054251373	4.6405565729265	3.55009716266285	4.87828868160856	3.88321970560855	0.236801252772107	0.513103122991522
244906_at	8.33761134005654	8.42533151694304	8.5356159055445	8.36351268794741	7.98743130763565	8.53562878442063	0.492925517046392	0.716236687833234
244907_at	-0.387733983467261	0.865603376716689	2.89895246122427	0.215320948841209	0.290685148272696	2.89929412692626	0.994534816732769	0.998034214102193
244908_at	0.790509631574991	0.094640543556804	1.20535563731392	1.34494405904426	-0.327994507972784	0.266330406378838	0.6739604029027	0.832910916736771
244909_at	2.21331770759096	3.34294111685964	4.87249432684635	2.62017508231806	1.41004096487854	3.35543390578704	0.353682857738857	0.611777203687218
244910_s_at	5.40027210006792	5.16813200020192	4.84141306740705	4.9223098894658	2.93969690993112	4.44979061529499	0.221355110916485	0.497635553628191
244911_at	-0.147016094072243	1.77051916218881	3.64415924341759	3.73963876409542	-0.812164828710865	1.04777405788597	0.814517843472237	0.913968516804492
244912_at	11.5964019409948	11.3547504492833	11.5052540044603	11.3866639348211	11.5468176638965	11.4419472454594	0.768071112614505	0.886445895290007
244913_at	1.739321308647	3.09561900698107	1.97950491397931	1.15526320303722	3.23667388688392	2.79738291003634	0.878354247026144	0.945059451635205
244914_at	2.43461982830911	1.36383143694594	1.13839118089841	-0.954949767598544	4.29114842238401	0.590742647775147	0.851443804683384	0.931394263611548
244915_s_at	5.72150524066018	0.615576834058722	1.52541959989828	1.50508485334264	2.29468342585785	2.54771543049101	0.780660248764075	0.894277836194684
244916_at	2.69190216023668	3.18089900236038	3.71007349821055	4.30962985317909	4.29216687097824	4.49172425926295	0.0519850248571286	0.314947786717425
244917_at	1.23522043631202	3.01344804607742	2.43349146356489	2.3789374703161	1.5204432375879	1.12843016897327	0.442999808323612	0.681469222272834
244918_at	4.13607352540508	2.94257851148083	4.55381889575037	3.72612023481541	-0.241053678106696	3.16324970509002	0.312488589856709	0.579595441098677
244919_at	5.06489854033098	6.21780793398594	6.03383057781185	5.92192432362276	5.76942225565981	5.03567854360012	0.686498449626596	0.841258185793842
244920_s_at	8.20027306979618	8.37154890322483	8.62115617632698	8.43389097635164	7.85894660004936	7.95096763571229	0.225985273674824	0.502893080264548
244921_s_at	6.96503184536677	7.20417968650341	7.79898572065667	7.87938928042863	7.1459847842302	7.54836145146421	0.570368224805153	0.764847453538358
244922_s_at	6.90606816745488	6.95799265283072	7.26011680883799	6.6936961454388	6.34837347850113	6.53818859635909	0.0262893275778202	0.289172762629658
244923_s_at	6.60152875770212	6.04439410986644	6.34863162362658	6.61016207600667	6.52691458232706	6.22925049023203	0.569073491378087	0.764277422124623
244924_at	6.47086029454059	6.43632281893006	6.38847092691248	6.72455572175113	6.54831735764483	6.62733054442045	0.0407647253079363	0.304592827656432
244925_at	5.55212128384564	5.33161326849639	4.75649345776896	5.26534451022318	4.64568752069392	5.22972392820438	0.621302381266956	0.799453224837777
244926_s_at	6.01855779402903	4.91068868627837	5.4618401834052	5.89337228051131	4.72568388945413	4.76899014031136	0.540118179812679	0.746265411686183
244927_at	6.33861064044946	6.44115214672784	6.50686002445402	6.64697475575646	5.40627200612427	6.18640655302298	0.43725858302912	0.677575657671747
244928_s_at	7.63406790457637	6.96758441223232	7.07675849267767	7.24852355410678	6.69125556369741	7.2452314661434	0.585378826382348	0.774503437305693
244929_at	10.7693066905886	10.3163608917001	10.7789081392418	11.006474479033	10.4175833942584	10.1619530868676	0.770220304909921	0.887578314387961
244930_at	4.06404882479426	2.71079269086965	1.18618949282184	3.92493229154692	3.52960061600126	2.1462220563165	0.615135151177955	0.795962831765893
244931_at	5.1645071784439	4.79296828095115	5.44946975860839	5.67882269122704	4.24559279400555	4.18327300803866	0.477787047027824	0.704727116816264
244932_at	5.35043150508073	4.91139202693652	4.54639666569689	7.39203026778068	5.48851093637774	6.06546066859066	0.119881719468428	0.391650246501698
244933_at	6.84548152749773	7.36431582567432	6.67384599886482	9.0084542515533	7.7478516182036	8.32686224503797	0.0408592700396944	0.304592827656432
244934_at	6.26313921279904	6.84389085421481	6.23631372456921	7.94576770196373	6.50317550001466	7.53117013376156	0.16567771892141	0.442466780072281
244935_at	13.2495578718106	13.370560975702	12.8236168522382	14.161020474326	13.2478672205456	13.6279760224672	0.177934682839909	0.455115416592193
244936_at	10.0710194644066	10.6443723208662	9.58013656426383	11.8718823309451	10.6564364936894	11.2798997064277	0.0671621784239403	0.33466562659434
244937_at	4.82145305242283	3.70981456337186	3.75394679895933	5.2125667233396	4.39893719571749	4.84637444826053	0.181499505067188	0.458522949449835
244938_at	7.63013853792601	7.55303799026314	7.11593949565341	7.94173650635178	6.83071184395134	7.2799175090967	0.834395683109796	0.92392434222897
244939_at	8.6943467084851	9.0139827527873	8.3036786653986	9.95304920004374	8.72253810468544	9.39352071388369	0.187902618867616	0.46564109116793
244940_at	11.992023120468	12.1244630779797	11.7286460730919	12.8822521357236	12.2558331470932	12.6517605169587	0.0497621196998943	0.312218876909603
244941_at	5.3046055734745	5.22064896174346	5.66851427468231	5.03612440876293	4.05637909523259	4.77593797444398	0.101186933385116	0.371491059152503
244942_at	5.12198626446623	3.92925166127237	2.7598482724135	4.75724720770478	1.6191681461476	4.51572103715556	0.815318585237327	0.914462159082629
244943_at	6.69740316489222	7.10476821804626	6.80605141331474	7.36218956499715	6.55359319308873	7.02249279335963	0.705009038057388	0.851040228518682
244944_s_at	9.64590132038319	9.42241666874499	9.96142668104351	9.43963210430077	9.19143574161821	9.28782359803253	0.126569576303577	0.399624691665861
244945_at	5.99521648905062	5.99373430825867	5.33943843536646	6.03317236195141	6.28182994747734	5.88759251287906	0.322035304927825	0.587133347086859
