GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
244901_at	P	P	P	P	P	P	P	P	P	P	P	P
244902_at	P	P	P	P	P	P	P	P	P	P	P	P
244903_at	P	P	P	P	P	P	P	P	P	P	P	P
244904_at	P	P	P	P	P	P	P	P	P	P	P	P
244905_at	A	A	A	A	A	A	A	A	A	A	A	A
244906_at	P	P	P	P	P	P	P	P	P	P	P	P
244907_at	A	A	A	A	A	A	A	A	A	A	A	A
244908_at	A	A	A	A	A	A	A	A	A	A	A	A
244909_at	A	A	A	A	A	A	P	A	A	A	A	A
244910_s_at	P	P	P	P	A	M	A	P	P	P	M	P
244911_at	A	A	A	A	A	A	A	A	A	A	A	A
244912_at	P	P	P	P	P	P	P	P	P	P	P	P
244913_at	A	A	A	A	A	A	A	A	A	A	A	A
244914_at	A	A	A	A	A	A	A	A	A	A	A	A
244915_s_at	A	A	A	A	A	A	A	A	A	A	A	A
244916_at	A	A	A	A	A	A	A	A	A	A	A	A
244917_at	A	A	A	A	A	A	A	A	A	A	A	A
244918_at	A	A	A	M	A	A	A	A	A	A	A	A
244919_at	A	M	M	P	A	A	P	P	P	A	P	M
244920_s_at	P	P	P	P	P	P	P	P	P	P	P	P
244921_s_at	P	P	P	P	P	P	P	P	P	P	P	P
244922_s_at	P	P	P	P	P	P	P	P	P	P	P	P
244923_s_at	M	P	P	P	P	P	P	P	P	P	P	P
244924_at	P	P	P	P	P	P	A	P	P	M	A	P
244925_at	A	A	P	P	A	P	A	A	A	A	A	A
