ID	logFC	P.Value
244901_at	0.085657202	0.665287718
244902_at	0.10160664	0.701768541
244903_at	-0.545666832	0.107062621
244904_at	-0.712506354	0.057794507
244905_at	-0.66233805	0.236801253
244906_at	-0.137328661	0.492925517
244907_at	0.00949279	0.994534817
244908_at	-0.269075285	0.673960403
244909_at	-1.014367733	0.353682858
244910_s_at	-1.032673251	0.221355111
244911_at	-0.430804773	0.814517843
244912_at	-0.026992517	0.768071113
244913_at	0.124958257	0.878354247
244914_at	-0.336633715	0.851443805
244915_s_at	-0.505005988	0.780660249
244916_at	1.170215441	0.051985025
244917_at	-0.55144969	0.442999808
244918_at	-1.66138489	0.31248859
244919_at	-0.196503976	0.68649845
244920_s_at	-0.316390979	0.225985274
244921_s_at	0.201846088	0.570368225
244922_s_at	-0.514639803	0.026289328
244923_s_at	0.123924219	0.569073491
244924_at	0.201516528	0.040764725
244925_at	-0.166490684	0.621302381
244926_s_at	-0.334346784	0.54011818
244927_at	-0.348989832	0.437258583
244928_s_at	-0.164466742	0.585378826
244929_at	-0.09285492	0.770220305
244930_at	0.546574652	0.615135151
244931_at	-0.433085575	0.477787047
244932_at	1.379260558	0.119881719
244933_at	1.399841588	0.04085927
244934_at	0.878923181	0.165677719
244935_at	0.531042673	0.177934683
244936_at	1.170896727	0.067162178
244937_at	0.724221318	0.181499505
244938_at	-0.082250055	0.834395683
244939_at	0.685699964	0.187902619
244940_at	0.648237843	0.04976212
244941_at	-0.77510911	0.101186933
244942_at	-0.306316602	0.815318585
244943_at	0.110017585	0.705009038
244944_s_at	-0.370284409	0.126569576
244945_at	0.291401863	0.322035305
244946_at	-1.131472482	0.35430109
244947_at	-2.292611749	0.03004502
244948_at	-0.474394442	0.754560951
244949_at	-1.302232755	0.3702099
244950_at	0.218463121	0.324332796
244951_s_at	0.08697689	0.65648339
244952_at	0.082451543	0.832664238
244953_s_at	-0.407085976	0.252487487
244954_s_at	0.139065234	0.70261447
244955_at	0.885827027	0.414964148
244956_s_at	-0.435905886	0.172800613
244957_at	0.294289776	0.619790816
244958_at	0.302677667	0.280750902
244959_s_at	-0.595384551	0.223256465
244960_at	-0.538118236	0.322507141
244961_at	0.927864503	0.050155154
244962_at	1.213194119	0.015612702
244963_at	0.935514114	0.046890263
244964_at	1.371000998	0.056240662
244965_at	0.447537648	0.412766497
244966_at	1.062390172	0.116912507
244967_at	1.634591144	0.016833844
244968_at	1.344545972	0.064317936
244969_at	-0.043898471	0.835993739
244970_at	0.379854607	0.366125449
244971_at	0.581379036	0.039527511
244972_at	1.38033797	0.066434644
244973_at	0.677443022	0.461813094
244974_at	0.481029877	0.108626404
244975_at	1.16144661	0.102217869
244976_at	0.816613192	0.038257659
244977_at	0.023823113	0.967528387
244978_at	0.340121917	0.28275797
244979_at	0.418008235	0.253012725
244980_at	0.283752615	0.346065452
244981_at	0.04555114	0.775310298
244982_at	0.156792294	0.632903009
244983_at	0.127341557	0.683092911
244984_at	-0.163463131	0.66543901
244985_at	0.245584511	0.576217455
244986_at	-0.121624648	0.514453138
244987_s_at	0.313688238	0.093096243
244988_s_at	1.1028375	0.045801673
